Institute ID,Institute Name,TLR,RPC,GO,OI,PERCEPTION,City,State,Score,Rank
NIRF-ENGG-1-2449912182,Bannari Amman Institute Of Technology-Sathyamangalam,51.61,58.11,77.22,62.78,27,SATHYAMANGALAM,Tamil Nadu,56.21,62
NIRF-ENGG-INF-368,"National Institute Of Technology, Raipur",46.48,62.13,75.15,63.84,31,Raipur,Chhattisgarh,55.93,63
NIRF-ENGG-1-2451386658,Vishwakarma Institute Of Technology-Pune,43.67,64.68,77.11,48.56,48,PUNE,Maharashtra,55.7,64
NIRF-ENGG-INF-141,"National Institute Of Technology, Silchar",55.75,58.12,66.08,71.32,12,Silchar,Assam,55.49,65
NIRF-ENGG-516,Noorul Islam Centre For Higher Education,51.73,53.46,50.05,70.4,59,Kanyakumari,Tamil Nadu,55.45,66
NIRF-ENGG-INF-358,"National Institute Of Technology, Srinagar",50.37,59.18,72.01,60.42,33,Kashmir,Jammu and Kashmir,55.3,67
NIRF-ENGG-1-2453375226,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",37.05,64.47,67.19,46.69,77,JALGAON,Maharashtra,54.91,68
NIRF-ENGG-1-2451415750,National Institute Of Science & Technology-Berhampur,41.66,50.29,74.67,65.68,63,BERHAMPUR,Odisha,54.81,69
NIRF-ENGG-1-2450669659,Siddaganga Institute Of Technology-Tumkur,52.98,51.91,72.17,66.37,30,TUMKUR,Karnataka,54.67,70
NIRF-ENGG-1-2450577299,Chaitanya Bharathi Institute Of Technology-Hyderabad,44.1,47.74,69.08,64.91,73,HYDERABAD,Telangana,54.66,71
NIRF-ENGG-230,Hindustan Institute Of Technology  And Science (Hits),52.71,41.67,69.01,79.65,42,Chennai,Tamil Nadu,54.32,72
NIRF-ENGG-1-2452919762,Sagi Ramakrishnam Raju Engineering College-Bhimavaram,50.02,48.05,75.83,75.45,23,BHIMAVARAM,Andhra Pradesh,54.02,73
NIRF-ENGG-1-2449860060,C.V.Raman College Of Engineering-Bhubaneswar,46.77,56.85,81.69,55.36,23,BHUBANESWAR,Odisha,53.91,74
NIRF-ENGG-1-2453916713,Kasegaon Education Societys Rajarambapu Institute Of Technology-Islampur,43.98,41.32,73.89,66.09,75,ISLAMPUR,Maharashtra,53.69,75
NIRF-ENGG-INF-404,"National Institute Of Technology, Goa",57.7,38.61,66.13,46.27,85,Ponda,Goa,53.65,76
NIRF-ENGG-INF-424,"Pandit Dwarka Prasad Mishra Indian Institute Of Information Technology, Design And Manufacturing (IIITDM), Jabalpur",47.15,62.91,79,54.79,12,Jabalpur,Madhya Pradesh,53.37,77
NIRF-ENGG-INF-362,"National Institute Of Technology, Jamshedpur",36.73,67.7,79.14,48.8,31,Jamshedpur,Jharkhand,53.35,78
NIRF-ENGG-1-2451417043,Institute Of Engineering & Management-Kolkata,43.45,56.73,82.68,58.11,21,KOLKATA,West Bengal,53.26,79
NIRF-ENGG-INF-410,"Indian Institute Of Information Technology, Design & Manufacturing (IIITD&M) Kancheepuram-Chennai",48.23,41.22,86.82,61.99,38,Chennai,Tamil Nadu,52.64,80
NIRF-ENGG-1-2452796944,Centurion Institute Of Technology,50.24,53.01,67.05,75.26,12,JATNI,Odisha,52.58,81
NIRF-ENGG-1-2455130573,College Of Technology And Engineering-Udaipur,53.51,61.8,50.46,49.2,34,UDAIPUR,Rajasthan,52.39,82
NIRF-ENGG-1-2453523111,Veermata Jijabai Technological Institute,32.29,57.85,79.62,59.06,47,MUMBAI,Maharashtra,52.17,84
NIRF-ENGG-1-2450743734,K. K. Wagh Institute Of Engineering Education & Research-Nashik,37.52,45.97,70.43,60.73,80,NASHIK,Maharashtra,51.92,85
